taxon	ND2	12S-ribosomal-RNA	IRBP	vWF	BRCA1	ApoB	
Phalanger sericeus	AF343884						
Phalanger lullulae	AF343882,AF343883	AF108219			EF025760		
Phalanger gymnotis	AF343886	AF108218	FJ624019	FJ624067	EF025762	FJ623981	
Phalanger carmelitae	AF343887	U21182					
Phalanger vestitus	AF343885						
Spilocuscus maculatus	AF343889		FJ624024	FJ624071	EF025764	FJ623985	
Spilocuscus rufoniger	AF343888	AF108221	FJ624025	FJ624072	EF025763	FJ623986	
Strigocuscus celebensis		AY735445	FJ624026	FJ624073			
Phalanger maculatus		AF108222					
Phalanger orientalis		U33496	AY243436	AY243410	AY243449	AF548431	
Ailurops ursinus		AY735447	FJ624007	FJ624055	EF025758	FJ623969	
Strigocuscus pelengensis			FJ624027	FJ624074			
