taxon	cytb	ND4	COI	
Ochotona thomasi	AF272987	AF273111		
Ochotona erythrotis	AF272999,AY056606	AF273121		
Ochotona koslowi	AF272993	AF273116		
Ochotona mantchurica	DQ335518,EF567058		DQ347451,DQ347450,DQ347449	
Ochotona annectens	AF273008	AF273129		
Ochotona rutila	AY056601,AF515733			
Ochotona iliensis	AY191824			
Ochotona curzoniae	JN165299,AF176581,AF432908	AF273122,AF273124,AF273123		
Ochotona hyperborea	EF567057,DQ335523,DQ335524	AF273115,EU549754,EU549756	DQ347429,DQ347445,DQ347443	
Ochotona collaris	JQ624431,AF176578,AY056608	EU549753,EU549747,EU549749		
Ochotona gloveri	AY056602			
Ochotona brookei	AY056600			
Ochotona pallasi	DQ335521,AY056607,DQ335522		DQ347458,DQ347456,JF499331	
Ochotona roylei	GU903298,GU724587,AF272988	GU825956,GU825951,GU825952		
Ochotona huangensis	AF272995,JN645147	AF273117		
Ochotona pusilla	AY260744,HM366945		DQ347457	
Ochotona forresti	AF272998	AF273120		
Ochotona rufescens	AJ132206,JF911811		DQ347459	
Ochotona turuchanensis	DQ335525,DQ335491,EF567056		DQ347464,DQ347463,DQ347460	
Ochotona alpina	AF273009,DQ335508,HM594688	AF273130	DQ347425,DQ347416,DQ347417	
Ochotona muliensis	AF421884			
Ochotona ladacensis	AY056609,AF272992	AF273114		
Ochotona thibetana	AF272986,AF176580	AF273110		
Ochotona nubrica	AF272991	AF273113		
Ochotona princeps	U31036,AY292716,AY056604	AF273112		
Ochotona macrotis	JQ670914,AF273010	AF273133		
Ochotona himalayana	AF272997	AF273119		
Ochotona coreana	EF567061			
Ochotona dauurica	DQ335519,EF567059		DQ347426	
Ochotona hoffmanni	HM594687,JF911804		DQ347427	
Ochotona cansus			JQ043544,JQ043542,JQ043536	
