taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	
Microperoryctes aplini										JF694099											
Rhynchomeles prattorum										JF694112											
Chaeropus ecaudatus								JF718363	JF706364	AF131247										EU369367	
Dasyurus hallucatus								M99460					AY528917		AY531249		JQ979248	L35341			
Peroryctes broadbenti						JF912105				JF694108	JF912095	JF912115		JF912136						JF912126	
Peroryctes raffrayana						EU369361				JF694107	EU369356	EU369366		EU369373					AF011268	EU369369	
Perameles bougainville						JF912100				AF250019	JF912092	JF912111		JF912132		EF625231				JF912123	
Microperoryctes papuensis						JF912103		JF718358	JF706354	JF694100	JF912094	JF912114		JF912135						JF912125	
Echymipera clara						JF912096		JF718351	JF706363	AF297694	JF912086	JF912106		JF912127					AF011231	JF912116	
Perameles gunnii		FN661542	FN661556	FN661585	FN661603	AY243450				AF250020	JF912091	AY243437		AY243411						JF912122	
Isoodon obesulus		FN661543	FN661557	FN661586	FN661604	DQ354447					JF912090	JF912110		JF912131		AY644373			AF011227	JF912121	
Dasyurus albopunctatus	JN414883					AY243452	JN633585	U07580			JN413928		AF166349	AY243414	AY531251		AF157095	AF010272	AF011239	AY243398	
Echymipera kalubu	JN414872					AF355796	JN633575	EU086683	JF706361	JF694110	AY243420	AF025383		AY243405					AF044498	JF912118	
Isoodon macrourus	JN414870					EU160441	AF303972	AF139057		U61074	JN413934	EU160450		EU160456		AY644351				EU160453	
Macrotis lagotis	JN414871	FN661541	FN661555	FN661584	FN661602	EU369359	AY125024			AF131246	JN413936	EU369364		EU369371							
